OFFENSE_CODE,OFFENSE_CODE_GROUP,STREET
1810,Drug Violation,COLUMBUS AVE
3115,Medical Assistance,PARK PLZ
301,Motor Vehicle Accident Response,NORFOLK ST
3807,Motor Vehicle Accident Response,WESTERN AVE
520,Motor Vehicle Accident Response,W BROADWAY
3115,Simple Assault,CORBET ST
3115,Medical Assistance,REGENT ST
3115,Verbal Disputes,GIBSON ST
3802,Investigate Person,WASHINGTON ST
2905,Verbal Disputes,SAINT BOTOLPH ST
1831,Verbal Disputes,LIVERPOOL ST
3126,Auto Theft,WASHINGTON ST
530,Simple Assault,WESTLAND AVE
3803,Fire Related Reports,"BOSTON ST & CLAPP ST
DORCHESTER  MA 02125
UNITED S"
3501,Investigate Person,SUDBURY ST
3501,Ballistics,GENEVA AVE
3114,Verbal Disputes,DORCHESTER AVE
3831,Towed,S HUNTINGTON AVE
1831,Aggravated Assault,CAMBRIDGE ST
3802,Aggravated Assault,E BROADWAY
3114,Simple Assault,SAINT LUKES RD
3018,Medical Assistance,HARRISON AVE
3115,Motor Vehicle Accident Response,NEW SUDBURY ST
3115,Medical Assistance,HAROLD ST
1109,Missing Person Reported,GIBSON ST
3018,Other,RAWSON ST
3115,Fraud,BERNARD ST
3001,Aggravated Assault,FAIRMOUNT AVE
423,Other,ROCKWELL ST
3802,Disorderly Conduct,"LAGRANGE ST & VERMONT ST
WEST ROXBURY  MA 02132
UN"
3115,Towed,DEER ST
3301,Medical Assistance,JERSEY STREET
530,Residential Burglary,W BROADWAY
617,Motor Vehicle Accident Response,HARRISON AVE
301,Verbal Disputes,WINTER ST
1402,Motor Vehicle Accident Response,DELHI ST
3115,Larceny From Motor Vehicle,GLENWAY ST
3207,Police Service Incidents,COLUMBUS AVE
801,Larceny,COMMONWEALTH AVE
1810,Property Lost,"RIVER ST & MAMELON CIR
BOSTON  MA 02126
UNITED STA"
801,Other,WASHINGTON ST
1402,Larceny From Motor Vehicle,KENRICK ST
617,Simple Assault,PARIS ST
3201,Investigate Person,SUDBURY ST
724,Larceny,W BROADWAY
617,Medical Assistance,WASHINGTON ST
520,Larceny,GARDNER STREET
3115,Larceny,N MARGIN ST
614,Verbal Disputes,BUTTONWOOD ST
3201,Simple Assault,BLUE HILL AVE
3831,Aggravated Assault,GIBSON ST
3301,Aggravated Assault,ARLINGTON ST
2647,Robbery,HARRISON AVE
3301,Medical Assistance,OCEAN VIEW DR
1402,Motor Vehicle Accident Response,DORCHESTER AVE
3114,Violations,WASHINGTON ST
1831,Motor Vehicle Accident Response,WARREN ST
1102,Police Service Incidents,CENTRE ST
2905,Towed,"AUSTIN ST & NEW RUTHERFORD AVE
BOSTON  MA 02129
UN"
2101,Medical Assistance,BLUE HILL AVE
617,Larceny From Motor Vehicle,HARRISON AVE
801,Violations,KINGSTON ST
613,Other,BLUE HILL AVE
2647,Investigate Person,MAIN ST
617,Other,WASHINGTON ST
3501,Missing Person Located,PARIS ST
3205,Verbal Disputes,EDSON ST
1109,Verbal Disputes,SUDBURY ST
3803,Medical Assistance,WASHINGTON ST
1102,Towed,GIBSON ST
1102,Larceny,BIGELOW ST
3301,Towed,VESTA RD
2905,Motor Vehicle Accident Response,BORDER ST
1831,Motor Vehicle Accident Response,MAVERICK ST
3115,Larceny,WHITMAN ST
3820,Motor Vehicle Accident Response,"DARTMOUTH ST & COLUMBUS AVE
BOSTON  MA 02116
UNITE"
1102,Drug Violation,WASHINGTON ST
1832,Vandalism,GAYLORD ST
3115,Simple Assault,WASHINGTON ST
3831,Larceny,BLUE HILL AVE
613,Missing Person Located,BOYLSTON ST
3201,Motor Vehicle Accident Response,AVENUE DE LAFAYETTE
617,Other,MOUNT VERNON ST
1831,Drug Violation,AVERY ST
3831,Harassment,"PARKER ST & WARD ST
ROXBURY  MA 02120
UNITED STATE"
3001,Investigate Property,HALLET ST
619,Property Found,SOLDIERS FIELD RD
3802,Simple Assault,"ADAMS ST & WESTGLOW ST
DORCHESTER  MA 02124
UNITED"
2905,Investigate Person,"HARRISON AVE & E BROOKLINE ST
BOSTON  MA 02118
UNI"
3114,Larceny From Motor Vehicle,ADAMS ST
3201,Missing Person Located,HARRISON AVE
2647,Verbal Disputes,GIBSON ST
617,Larceny From Motor Vehicle,BLUE HILL AVE
3126,Larceny,BOYLSTON ST
1402,Aggravated Assault,WILLIS ST
1810,Investigate Property,"NELSON ST & NORFOLK ST
DORCHESTER  MA 02124
UNITED"
3801,Simple Assault,"C ST & W 1ST ST
BOSTON  MA 02127
UNITED STATES"
530,Larceny,"LITCHFIELD ST & WESTERN AVE
BOSTON  MA 02135
UNITE"
3115,Property Lost,ALBANY ST
801,Other,HUNTINGTON AVE
2670,Other,HYDE PARK AVE
3201,Auto Theft,STANTON ST
3006,Property Lost,IPSWICH ST
3301,Motor Vehicle Accident Response,"BLUE HILL AVE & WALES ST
BOSTON  MA 02121
UNITED S"
613,Medical Assistance,COLUMBUS AVE
801,Auto Theft,PARISH ST
3115,Violations,RUTHERFORD AVE
617,Larceny From Motor Vehicle,CUMMINS HWY
3207,Investigate Property,SUDBURY ST
724,Other,WASHINGTON ST
530,Vandalism,BUTTONWOOD ST
2670,Liquor Violation,VINE ST
3018,Other,QUINCEFIELD ST
1831,Property Lost,DALESSIO COURT
1102,Violations,WASHINGTON ST
3115,Towed,BERKELEY ST
2604,Simple Assault,SUDBURY ST
1107,Larceny,HARRISHOF ST
2660,Disorderly Conduct,NORTH BEACON STREET
619,Property Lost,CENTRE ST
3831,Motor Vehicle Accident Response,BELLEVUE ST
617,Medical Assistance,DEVONSHIRE ST
1109,Motor Vehicle Accident Response,NEW SUDBURY ST
3115,Larceny From Motor Vehicle,ALBANY ST
3301,Medical Assistance,GARDEN COURT ST
801,Missing Person Reported,RIVER ST
724,Investigate Property,BORDER ST
3830,Vandalism,"CHELSEA ST & CITY SQ
CHARLESTOWN  MA 02129
UNITED "
3501,Larceny,PERTHSHIRE RD
801,Motor Vehicle Accident Response,HARRISON AVE
3831,Property Related Damage,WASHINGTON ST
3201,Motor Vehicle Accident Response,WASHINGTON ST
3410,Larceny,GIBSON ST
619,Investigate Property,CAPEN ST
540,Property Lost,TREMONT ST
3830,Investigate Person,HARRISON AVE
3115,Fraud,BEECHMONT TER
3802,Larceny,COLUMBUS AVE
3201,Larceny,BLUE HILL AVE
2647,Simple Assault,BOYLSTON ST
3410,Larceny,NEWBURY ST
3106,Simple Assault,AMORY ST
3115,Confidence Games,CHARLES ST
3802,Motor Vehicle Accident Response,FAWNDALE RD
3114,Simple Assault,HARRISON AVE
3115,Robbery,SUMMER ST
3831,Motor Vehicle Accident Response,GLENVILLE AVE
614,Medical Assistance,BLUE HILL AVE
3301,Motor Vehicle Accident Response,MAVERICK ST
1402,Police Service Incidents,WALDEMAR AVE
3207,Missing Person Located,COTTAGE ST
3115,Property Lost,BOYLSTON ST
3115,Harassment,RUTLAND SQ & TREMONT ST
1102,Motor Vehicle Accident Response,HYDE PARK AVE
3831,Simple Assault,QUEENSBERRY ST
1106,Residential Burglary,TRAIN ST
3831,Towed,"CENTRE ST & LAGRANGE ST
WEST ROXBURY  MA 02132
UNI"
3201,Simple Assault,HARRISON AVE
3108,Violations,MASSACHUSETTS AVE
3114,Harassment,HOLYOKE ST
801,Property Lost,HOMESTEAD ST
3830,Violations,"BLUE HILL AVE & AMERICAN LEGION HWY
DORCHESTER  MA"
3115,Larceny,HOMESTEAD ST
2670,Motor Vehicle Accident Response,HYDE PARK AVE
3410,Drug Violation,E DEDHAM ST
3201,Medical Assistance,BLUE HILL AVE
423,Fraud,ROCKWELL ST
801,Larceny,HARRISON AVE
3115,Harassment,HYDE PARK AVE
3803,Police Service Incidents,"MELNEA CASS BLVD & HAMPDEN ST
ROXBURY  MA 02119
UN"
3410,Investigate Person,COLEMAN ST
3803,Verbal Disputes,"HARVARD ST & GLEASON ST
BOSTON  MA 02124
UNITED ST"
3115,Investigate Property,HORADAN WAY
3114,Towed,HYDE PARK AVE
614,Vandalism,HOWES ST
3503,Larceny,NEPTUNE CIR
540,Motor Vehicle Accident Response,RIVER ST
3007,Larceny,BRADFIELD AVE
1831,Towed,"BOYLSTON ST & MASSACHUSETTS AVE
BOSTON  MA 02115
U"
3108,Fraud,PROVIDENCE ST
3006,Larceny,SCHOOL ST
1402,Auto Theft,ORMOND ST
1831,Larceny,DENT ST
3503,Towed,CENTRE ST
3410,Investigate Person,SHAWMUT AVE
3301,Investigate Property,CONGRESS ST
1832,Towed,HEATH ST
3301,Towed,HUMPHREYS ST
3111,Investigate Person,SAINT JAMES AVE
3115,Vandalism,BLUE LEDGE DR
1810,Vandalism,MELINA CASS BLVD AND HARRISON AVENUE
3114,Violations,SAINT JAMES AVE
3114,Towed,CENTRE COURT
1831,Vandalism,REXFORD ST
3207,Larceny,ALLSTATE RD
3410,Vandalism,TRAIN ST
3006,Commercial Burglary,"WASHINGTON ST & WORCESTER SQ
BOSTON  MA 02118
UNIT"
3301,Other,MAVERICK ST
1831,Simple Assault,CENTRE ST
1402,Recovered Stolen Property,DUNKELD ST
617,Residential Burglary,MASSACHUSETTS AVE
3006,Motor Vehicle Accident Response,MASCOT ST
724,Fire Related Reports,WASHINGTON ST
619,Aggravated Assault,W BROADWAY
3115,Verbal Disputes,W BROADWAY
3115,Verbal Disputes,W BROADWAY
2670,Motor Vehicle Accident Response,GIBSON ST
3820,Motor Vehicle Accident Response,HYDE PARK AVE
3821,Motor Vehicle Accident Response,BLUE HILL AVE
2647,Investigate Person,CHARLES ST
1832,Motor Vehicle Accident Response,CITY HALL PLZ
3831,Simple Assault,GIBSON ST
1831,Motor Vehicle Accident Response,POND ST
3801,Motor Vehicle Accident Response,CAMBRIDGE ST
3115,Larceny,SUDBURY ST
3114,Vandalism,FLORIDA ST
3115,Aggravated Assault,COMMONWEALTH AVE
3006,Medical Assistance,COMMONWEALTH AVE
3115,Property Lost,WASHINGTON ST
3301,Vandalism,WASHINGTON ST
3831,Aggravated Assault,SUDBURY ST
3410,Motor Vehicle Accident Response,MAYFIELD ST
3821,Verbal Disputes,"WASHINGTON ST & PERRY ST
BOSTON  MA 02118
UNITED S"
3108,Missing Person Located,BLOSSOM STREET
3811,Missing Person Reported,SUDBURY ST
530,Disorderly Conduct,HUNTINGTON AVE
3115,Robbery,BLUE LEDGE DR
3170,Homicide,SOUTHAMPTON ST
3820,Medical Assistance,"WASHINGTON ST & WORCESTER SQ
BOSTON  MA 02118
UNIT"
3114,Medical Assistance,"AMERICAN LEGION HWY & HYDE PARK AVE
HYDE PARK  MA "
619,Vandalism,DUDLEY ST
617,Motor Vehicle Accident Response,WEST SIXTH STREET
3502,Motor Vehicle Accident Response,BENNINGTON ST
2610,Motor Vehicle Accident Response,LAMARTINE ST
615,Vandalism,SUDBURY ST
3126,Aggravated Assault,HUNTINGTON AVE
617,Other Burglary,SOUTHAMPTON ST
3831,Assembly or Gathering Violations,PILGRIM RD
3114,Medical Assistance,WASHINGTON ST
3625,Motor Vehicle Accident Response,BOYLSTON ST
2905,Medical Assistance,"WOOD AVE & EDWARDSON ST
HYDE PARK  MA 02136
UNITED"
2646,Assembly or Gathering Violations,"WASHINGTON ST & ESSEX ST
BOSTON  MA 02116
UNITED S"
3301,Verbal Disputes,FOWLER ST
3410,Warrant Arrests,BERKELEY ST
619,Simple Assault,SUDBURY ST
3114,Missing Person Reported,TALBOT AVE
3831,Residential Burglary,WASHINGTON STREET
1810,Simple Assault,"MERIDIAN ST & W EAGLE ST
EAST BOSTON  MA 02128
UNI"
1109,Motor Vehicle Accident Response,PARIS ST
1810,Investigate Person,"DEERING RD & WELLINGTON HILL ST
MATTAPAN  MA 02126"
2905,Medical Assistance,PEARL ST
619,Medical Assistance,WABENO ST
423,Medical Assistance,WASHINGTON ST
3803,Verbal Disputes,WEST ST
3115,Medical Assistance,WASHINGTON ST
1107,Robbery,HARRISON AVE
3114,Investigate Person,WASHINGTON ST
3201,Medical Assistance,GARDNER ST
3801,Property Found,"N WASHINGTON ST & CAUSEWAY ST
BOSTON  MA 02114
UNI"
3115,Motor Vehicle Accident Response,WASHINGTON ST
3115,Medical Assistance,SAINT MARY'S ST
3501,Medical Assistance,BLUE HILL AVE
3501,Simple Assault,BLUE HILL AVE
3803,Investigate Person,"COLUMBUS AVE & CENTRE ST
ROXBURY  MA 02119
UNITED "
2662,Investigate Person,RIDGEWOOD ST
3006,Medical Assistance,GURNEY ST
619,Simple Assault,BLUE HILL AVE
2670,Aggravated Assault,WASHINGTON ST
1102,Warrant Arrests,WASHINGTON ST
2907,Disorderly Conduct,"CUMMINS HWY & CANTERBURY ST
ROSLINDALE  MA 02131
U"
3115,Aggravated Assault,GORDON AVE
724,Motor Vehicle Accident Response,VINE ST
1831,Verbal Disputes,KILMARNOCK ST
801,Simple Assault,DORCHESTER AVE
1001,Property Found,CENTRE ST
3115,Auto Theft,LONGFELLOW PL
3201,Verbal Disputes,"BEACH ST & HUDSON ST
BOSTON  MA 02111
UNITED STATE"
3831,Investigate Person,GIBSON ST
3018,Investigate Person,GIBSON ST
619,Larceny,PARIS ST
615,Drug Violation,DR. MICHAEL GAVIN WAY
3803,Investigate Person,TREMONT ST
3831,Towed,HYDE PARK AVE
1810,Larceny,MASSACHUSETTS AVE
3115,Investigate Person,TIBBETT'S TOWN WAY
3803,Verbal Disputes,HYDE PARK AVE
1831,Simple Assault,CENTRE ST
3831,Disorderly Conduct,VERNON ST
619,Other Burglary,CENTRE ST
3502,Other,WOODROW AVE
1810,Motor Vehicle Accident Response,NEWMARKET SQ
3802,Simple Assault,"ALBANY ST & MELNEA CASS BLVD
ROXBURY  MA 02119
UNI"
3115,Larceny,MINDEN ST
2647,Other,CAMBRIDGE ST
3114,Motor Vehicle Accident Response,GIBSON ST
3115,Motor Vehicle Accident Response,ELMORE ST
3114,Medical Assistance,GIBSON ST
3301,Drug Violation,MINDEN ST
1831,Towed,EAST FOURTH STREET
619,Drug Violation,W SIXTH ST
1106,Drug Violation,GIBSON ST
1831,Simple Assault,NORTH POINT DRIVE
3115,Property Lost,CENTRE ST
3114,Drug Violation,BISMARCK ST
1832,Larceny,HARRISON AVE
3115,Verbal Disputes,LAMARTINE ST & CENTRE ST
2905,Drug Violation,CHESTNUT AVE
724,Larceny,BLUE HILL AVE
801,Towed,CLARENDON ST
1831,Verbal Disputes,MASSACHUSETTS AVE
3114,Simple Assault,GIBSON ST
3201,Motor Vehicle Accident Response,HYDE PARK AVE
2905,Liquor Violation,EDGERLY RD
3115,Motor Vehicle Accident Response,WILLIAMS AVE
3115,Motor Vehicle Accident Response,MAVERICK SQ
1832,Fraud,BERKELEY ST
530,Other,"VAN NESS ST & JERSEY ST
BOSTON  MA 02215
UNITED ST"
3301,Aggravated Assault,TERRACE ST
3802,Vandalism,HOLYOKE ST
3301,Medical Assistance,SECOND NEW WAY
617,Verbal Disputes,W BROADWAY
3201,Investigate Person,BLUE HILL AVE
1831,Larceny From Motor Vehicle,VFW PKWY
3115,Violations,DUNMORE ST
3201,Vandalism,HARRISON AVE
801,Disorderly Conduct,WASHINGTON ST
3115,Drug Violation,TREMONT ST
3803,Drug Violation,"BRAGDON ST & WASHINGTON ST
ROXBURY  MA 02119
UNITE"
611,Investigate Person,BOYLSTON ST
3831,Medical Assistance,HARRISON AVE
3119,Fire Related Reports,CENTRE ST
616,Recovered Stolen Property,SUMMER ST
619,Firearm Violations,HUNTINGTON AVE
3802,Recovered Stolen Property,DORCHESTER AVE
3115,Medical Assistance,ALLSTATE RD
3831,Simple Assault,COLUMBIA RD
2670,Verbal Disputes,HARRISON AVENUE
3831,Missing Person Located,WASHINGTON ST
3801,Larceny,SHIRLEY ST
3402,Medical Assistance,MALDEN ST
613,Fraud,MERIDIAN ST
1102,Other,WASHINGTON ST
1102,Confidence Games,CHAPPIE ST
520,Aggravated Assault,GEORGETOWNE PL
3114,Larceny,"BUSINESS ST & RESERVATION RD
HYDE PARK  MA 02136
U"
3115,Counterfeiting,NEWBURY ST
1831,Towed,BLUE HILL AVE
3115,Larceny From Motor Vehicle,LANDING ST
3114,Missing Person Located,COMMONWEALTH AVE
3207,Missing Person Reported,WASHINGTON ST
3831,Fraud,"HANOVER ST & SURFACE RD
BOSTON  MA 02108
UNITED ST"
2905,Fraud,"E CANTON ST & HARRISON AVE
BOSTON  MA 02118
UNITED"
617,Investigate Property,WASHINGTON ST
3115,Missing Person Reported,WASHINGTON ST
619,Missing Person Located,GIBSON ST
3831,Motor Vehicle Accident Response,"STOUGHTON ST & PLEASANT ST
DORCHESTER  MA 02125
UN"
1831,Simple Assault,BYRON ST
3114,Ballistics,FOSTER ST
3115,Missing Person Reported,TALBOT AVE
2403,Motor Vehicle Accident Response,WASHINGTON ST
3106,Motor Vehicle Accident Response,RALWOOD RD
3006,Residential Burglary,DORCHESTER ST
1102,Verbal Disputes,HYDE PARK AVE
617,Property Lost,HYDE PARK AVE
3501,Confidence Games,HEMENWAY ST
3115,Property Lost,WASHINGTON ST
1102,Police Service Incidents,WASHINGTON ST
3201,Other,HARRISON AVE
1831,Violations,LORENZO ST
3410,Medical Assistance,SHAWMUT AVE
3114,Missing Person Reported,LONGWOOD AVE
3126,Medical Assistance,CHARLES ST
3006,Fraud,SOUTH ST
3115,Verbal Disputes,WASHINGTON ST
3201,Motor Vehicle Accident Response,LORNA RD
617,Missing Person Reported,WASHINGTON ST
3115,Larceny,BABSON ST
801,Motor Vehicle Accident Response,WASHINGTON ST
540,Other,WORRELL ST
3115,Harassment,WASHINGTON ST
619,Vandalism,WASHINGTON ST
3115,Fraud,"ADAMS ST & GIBSON ST
DORCHESTER  MA 02122
UNITED S"
1102,Motor Vehicle Accident Response,BLUE HILL AVE
3831,Harassment,COMMERCIAL ST
2610,Property Lost,JERSEY ST
2670,Investigate Person,GIBSON ST
3410,Larceny,SARATOGA ST
3803,Larceny,"LAMARTINE ST & PAUL GORE ST
JAMAICA PLAIN  MA 0213"
3831,Medical Assistance,WASHINGTON ST
3410,Simple Assault,STRATHMORE RD
3803,Simple Assault,MELVILLE AVE
3126,Simple Assault,"TREMONT ST & AVERY ST
BOSTON  MA 02111
UNITED STAT"
3802,Motor Vehicle Accident Response,"BEACON ST & VOSE AVE
HYDE PARK  MA 02136
UNITED ST"
3115,Motor Vehicle Accident Response,COLORADO ST
3114,Other,CENTRE ST
3115,Investigate Property,ZEIGLER ST
1831,Larceny,AVENUE DE LAFAYETTE
3410,Liquor Violation,WALK HILL ST
423,Vandalism,"MASSACHUSETTS AVE & PEIRSON ST
ROXBURY  MA 02119
U"
1832,Motor Vehicle Accident Response,"ATKINSON ST & SOUTHAMPTON ST
ROXBURY  MA 02118
UNI"
801,Larceny,WASHINGTON ST
3831,Medical Assistance,BENNINGTON ST
1831,Motor Vehicle Accident Response,W CONCORD ST
1402,Motor Vehicle Accident Response,COLUMBIA RD
3831,Motor Vehicle Accident Response,SARATOGA ST
3831,Motor Vehicle Accident Response,NEW SUDBURY ST
1300,Residential Burglary,"MOUNT VERNON ST & BRIMMER ST
BOSTON  MA 02108
UNIT"
3831,Property Related Damage,PARIS ST
1402,Motor Vehicle Accident Response,WASHINGTON ST
2907,Other,"CLAYTON ST & FREEPORT ST
DORCHESTER  MA 02122
UNIT"
3801,Residential Burglary,WASHINGTON ST
735,Other,"DOUGLASS PARK & COLUMBUS AVE
ROXBURY  MA 02118
UNI"
3115,Investigate Property,PARK DR
1831,Confidence Games,TALBOT AVE
3410,Warrant Arrests,KERWIN ST
3801,Drug Violation,"HUMBOLDT AVE & SEAVER ST
ROXBURY  MA 02121
UNITED "
3114,Towed,STANTON ST
1831,Aggravated Assault,MARKET ST
1831,Other,HARRISON AVE
3410,Investigate Property,"MARTHA RD & NASHUA ST
BOSTON  MA 02114
UNITED STAT"
3831,Motor Vehicle Accident Response,"AUSTIN ST & MYOPIA RD
BOSTON  MA 02136
UNITED STAT"
1402,Investigate Property,N BENNET ST
3115,Motor Vehicle Accident Response,HARMON ST
3201,Prisoner Related Incidents,WASHINGTON ST
3502,Firearm Violations,FLORENCE ST
1402,Drug Violation,CAMBRIDGE ST
2670,License Plate Related Incidents,MILLET ST
615,Motor Vehicle Accident Response,SAVIN ST
3114,Verbal Disputes,W BROADWAY
3112,Larceny,PRINCETON ST
3115,Other,HAMILTON ST
613,Medical Assistance,COLUMBUS AVE
3301,Motor Vehicle Accident Response,"FARRINGTON AVE & HARVARD AVE
BRIGHTON  MA 02134
UN"
1810,Property Lost,"BLUE HILL AVE & MORTON ST
BOSTON  MA 02124
UNITED "
1831,Medical Assistance,CAMBRIDGE ST
3831,Drug Violation,CENTRE ST
3115,Harassment,W NEWTON ST
2662,Larceny,REGENT ST
3114,Larceny,FREEPORT ST
616,Fraud,HOOD PARK DR
3115,Vandalism,WASHINGTON ST
3831,Vandalism,SUDBURY ST
3006,Motor Vehicle Accident Response,FRANCIS ST
3115,Larceny,BOYLSTON ST
3114,Property Lost,ELM ST
3831,Property Found,WASHINGTON STREET
3201,Medical Assistance,VINE ST
3115,Harassment,DUDLEY ST
1832,Investigate Person,NORTHAMPTON ST
3410,Larceny,"FRANKLIN ST & PEARL ST
BOSTON  MA 02110
UNITED STA"
3831,Warrant Arrests,GENEVA AVE
3201,Investigate Person,HYDE PARK AVE
3201,Confidence Games,LINWOOD ST
3801,Motor Vehicle Accident Response,W BROADWAY
2662,Motor Vehicle Accident Response,HANCOCK ST
727,Other,BLUE HILL AVENUE
617,Liquor Violation,BEETHOVEN ST
619,Property Related Damage,VINE ST
1102,Vandalism,WASHINGTON ST
2905,Property Lost,FRIEND ST
3803,Property Lost,N WASHINGTON ST
724,Robbery,SCHILLER RD
3831,Other,"MASSACHUSETTS AVE & MAGAZINE ST
BOSTON  MA 02118
U"
801,Fraud,RIVER ST
1810,Harassment,W WALNUT PARK
3831,Residential Burglary,GIBSON ST
3112,Aggravated Assault,DUDLEY ST
724,Property Found,GIBSON ST
1831,Motor Vehicle Accident Response,E SIXTH ST
423,Larceny From Motor Vehicle,GIBSON ST
801,Investigate Property,WASHINGTON ST
3802,Investigate Person,MOUNT PLEASANT TER
1831,Property Found,CAMBRIDGE ST
801,Property Found,"RUGGLES ST & DEWITT DR
BOSTON  MA 02120
UNITED STA"
619,Aggravated Assault,COLUMBIA RD
617,Harassment,COLUMBIA RD
1810,Motor Vehicle Accident Response,W BROADWAY
3115,Property Found,SOUTH ST
1501,Drug Violation,WARREN ST
617,Drug Violation,CAMBRIDGE ST
1810,Harassment,ROXBURY ST
3115,Medical Assistance,EDGEWOOD ST
1825,Investigate Person,W BROADWAY
3831,Simple Assault,GIBSON ST
1402,Larceny,HENLEY ST
1831,Motor Vehicle Accident Response,CHILD ST
1831,Medical Assistance,WASHINGTON ST
1102,Medical Assistance,BLUE HILL AVENUE
617,Vandalism,VINE ST
3115,Counterfeiting,SUDBURY ST
613,Larceny,NEWBURY ST
423,Restraining Order Violations,KINGSDALE ST
3301,Larceny,SMITH ST
423,Fraud,OUTLOOK RD
1102,Investigate Person,SUDBURY ST
2905,Towed,WASHINGTON ST
3018,Harassment,GIBSON ST
3801,Towed,EAST EAGLE STREET
3503,Verbal Disputes,WASHINGTON ST
3115,Investigate Person,WALES ST
3502,Investigate Property,MAGNOLIA STREET
1402,Towed,BREMEN ST
3301,Vandalism,KILMARNOCK ST
3115,Medical Assistance,AMERICAN LEGION HWY
1102,Investigate Person,SUDBURY ST
1402,Auto Theft,CHELSEA ST
2610,Investigate Person,WORCESTER SQ
2610,Towed,AUSTIN ST
3301,Medical Assistance,PRINCETON ST
1831,Verbal Disputes,SHAWMUT AVE
3201,Ballistics,SARATOGA ST
3114,Auto Theft,BLUE HILL AVENUE
1831,Investigate Property,BRAGDON ST
3831,Commercial Burglary,CENTRE ST
3201,Police Service Incidents,SUDBURY ST
3831,Medical Assistance,WASHINGTON ST
3201,Motor Vehicle Accident Response,GIBSON ST
3820,Missing Person Reported,WASHINGTON ST
3820,Missing Person Located,"BELLEVUE ST & CENTRE ST
WEST ROXBURY  MA 02132
UNI"
3114,Vandalism,SOUTHAMPTON ST
3114,Motor Vehicle Accident Response,"ATKINSON ST & SOUTHAMPTON ST
ROXBURY  MA 02118
UNI"
423,Larceny,ARMINGTON ST
423,Investigate Person,HELEN ST
3106,Missing Person Reported,SHAWMUT AVE
3831,Investigate Person,GIBSON ST
614,Motor Vehicle Accident Response,GIBSON ST
1001,Motor Vehicle Accident Response,CENTRE ST
1402,Vandalism,HARRISON AVE
1831,Drug Violation,GOVE ST
1810,Search Warrants,SOUTHAMPTON ST
3201,Search Warrants,HARRISON AVE
1001,Drug Violation,CENTRE ST
3410,Investigate Property,CORNELL ST
619,Medical Assistance,WASHINGTON ST
613,Medical Assistance,NEWBURY ST
1831,Missing Person Reported,AMES ST
1001,Investigate Property,CENTRE ST
3410,Auto Theft,CENTRE ST
1831,Medical Assistance,DUDLEY ST
1831,Medical Assistance,ARMANDINE ST
3114,Medical Assistance,CENTRE ST
614,Vandalism,HARRISON AVE
1106,Larceny From Motor Vehicle,WASHINGTON ST
520,Violations,WASHINGTON ST
