INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,YEAR,MONTH,HOUR,STREET
222094686,Other,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,A7,2022,12,21,BENNINGTON ST
222094684,Missing Person Reported,PROPERTY - LOST/ MISSING,A7,2022,12,0,PARIS ST
222094683,Aggravated Assault,BALLISTICS EVIDENCE/FOUND,B2,2022,12,19,HOMESTEAD ST
222094682,Vandalism,INVESTIGATE PROPERTY,E5,2022,12,21,VFW PKWY
222094681,Ballistics,MISSING PERSON,E18,2022,12,21,THORN ST
222094677,Towed,VANDALISM,E5,2022,12,21,GEORGETOWNE PL
222094676,Larceny,PROPERTY - LOST/ MISSING,A1,2022,12,21,CITY HALL SQ
222094672,Missing Person Reported,SICK ASSIST,C6,2022,12,21,SOUTHAMPTON ST
222094671,Residential Burglary,SICK ASSIST,D14,2022,12,20,ORKNEY RD
222094670,Motor Vehicle Accident Response,INVESTIGATE PERSON,D4,2022,12,20,WASHINGTON ST
222094668,Drug Violation,AUTO THEFT,E18,2022,12,18,AMERICAN LEGION HWY
222094667,Drug Violation,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,2022,6,0,COLUMBUS AVE
222094665,Medical Assistance,INVESTIGATE PERSON,A1,2022,12,17,PARK PLZ
222094659,Motor Vehicle Accident Response,ROBBERY,B3,2022,12,20,NORFOLK ST
222094657,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,D14,2022,12,17,WESTERN AVE
222094653,Motor Vehicle Accident Response,BURGLARY - RESIDENTIAL,C6,2022,12,7,W BROADWAY
222094651,Simple Assault,INVESTIGATE PERSON,B3,2022,12,19,CORBET ST
222094650,Medical Assistance,INVESTIGATE PERSON,B2,2022,12,19,REGENT ST
222094649,Verbal Disputes,INVESTIGATE PERSON,C11,2022,12,0,GIBSON ST
222094648,Investigate Person,M/V ACCIDENT - PROPERTY DAMAGE,B2,2022,12,18,WASHINGTON ST
222094646,Verbal Disputes,VAL - VIOLATION OF AUTO LAW,D4,2022,11,10,SAINT BOTOLPH ST
222094645,Verbal Disputes,SICK ASSIST,A7,2022,12,18,LIVERPOOL ST
222094644,Auto Theft,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,E13,2022,12,19,WASHINGTON ST
222094643,Simple Assault,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,D4,2022,12,14,WESTLAND AVE
222094642,Fire Related Reports,M/V ACCIDENT - PERSONAL INJURY,C6,2022,12,17,"BOSTON ST & CLAPP ST
DORCHESTER  MA 02125
UNITED S"
222094641,Investigate Person,MISSING PERSON,A1,2022,12,14,SUDBURY ST
222094640,Ballistics,MISSING PERSON,C11,2022,12,17,GENEVA AVE
222094639,Verbal Disputes,INVESTIGATE PROPERTY,C6,2022,12,18,DORCHESTER AVE
222094638,Towed,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,2022,12,18,S HUNTINGTON AVE
222094635,Aggravated Assault,SICK ASSIST,D14,2022,12,17,CAMBRIDGE ST
222094634,Aggravated Assault,M/V ACCIDENT - PROPERTY DAMAGE,C6,2022,12,18,E BROADWAY
222094633,Simple Assault,INVESTIGATE PROPERTY,D14,2022,12,17,SAINT LUKES RD
222094632,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,D4,2022,12,14,HARRISON AVE
222094631,Motor Vehicle Accident Response,INVESTIGATE PERSON,A1,2022,12,0,NEW SUDBURY ST
222094630,Medical Assistance,INVESTIGATE PERSON,B2,2022,12,17,HAROLD ST
222094629,Missing Person Reported,FRAUD - WIRE,C11,2022,12,9,GIBSON ST
222094628,Other,SICK/INJURED/MEDICAL - POLICE,C6,2022,12,15,RAWSON ST
222094627,Fraud,INVESTIGATE PERSON,B3,2022,12,17,BERNARD ST
222094625,Aggravated Assault,DEATH INVESTIGATION,E18,2022,12,17,FAIRMOUNT AVE
222094624,Other,ASSAULT - AGGRAVATED,B3,2022,12,17,ROCKWELL ST
222094623,Disorderly Conduct,M/V ACCIDENT - PROPERTY DAMAGE,E5,2022,12,17,"LAGRANGE ST & VERMONT ST
WEST ROXBURY  MA 02132
UN"
222094622,Towed,INVESTIGATE PERSON,C11,2022,12,18,DEER ST
222094619,Medical Assistance,VERBAL DISPUTE,D4,2022,12,17,JERSEY STREET
222094618,Residential Burglary,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,C6,2022,12,1,W BROADWAY
222094616,Motor Vehicle Accident Response,LARCENY THEFT FROM BUILDING,D4,2022,12,21,HARRISON AVE
222094615,Verbal Disputes,ROBBERY,A1,2022,12,17,WINTER ST
222094614,Motor Vehicle Accident Response,VANDALISM,B3,2022,12,17,DELHI ST
222094613,Larceny From Motor Vehicle,INVESTIGATE PERSON,B3,2022,12,16,GLENWAY ST
222094612,Police Service Incidents,PROPERTY - FOUND,A1,2022,12,16,COLUMBUS AVE
222094610,Larceny,ASSAULT - SIMPLE,D14,2022,12,17,COMMONWEALTH AVE
222094609,Property Lost,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,2022,12,17,"RIVER ST & MAMELON CIR
BOSTON  MA 02126
UNITED STA"
222094608,Other,ASSAULT - SIMPLE,C11,2022,12,16,WASHINGTON ST
222094607,Larceny From Motor Vehicle,VANDALISM,D14,2022,12,13,KENRICK ST
222094606,Simple Assault,LARCENY THEFT FROM BUILDING,A7,2022,12,17,PARIS ST
222094605,Investigate Person,PROPERTY - LOST/ MISSING,A1,2022,12,18,SUDBURY ST
222094602,Larceny,AUTO THEFT,C6,2022,11,17,W BROADWAY
222094598,Medical Assistance,LARCENY THEFT FROM BUILDING,C11,2022,12,17,WASHINGTON ST
222084308,Larceny,BURGLARY - RESIDENTIAL,D14,2022,10,18,GARDNER STREET
222094597,Larceny,INVESTIGATE PERSON,A1,2022,12,16,N MARGIN ST
222094596,Verbal Disputes,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,2022,12,16,BUTTONWOOD ST
222094595,Simple Assault,PROPERTY - LOST/ MISSING,B3,2022,12,17,BLUE HILL AVE
222094594,Aggravated Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2022,12,22,GIBSON ST
222094593,Aggravated Assault,VERBAL DISPUTE,E18,2022,12,16,ARLINGTON ST
222094591,Robbery,THREATS TO DO BODILY HARM,D4,2022,11,0,HARRISON AVE
222094589,Medical Assistance,VERBAL DISPUTE,C6,2022,12,16,OCEAN VIEW DR
222094588,Motor Vehicle Accident Response,VANDALISM,C11,2022,12,16,DORCHESTER AVE
222094587,Violations,INVESTIGATE PROPERTY,C11,2022,12,16,WASHINGTON ST
222094586,Motor Vehicle Accident Response,SICK ASSIST,B2,2022,12,16,WARREN ST
222094584,Police Service Incidents,FRAUD - FALSE PRETENSE / SCHEME,E5,2022,12,9,CENTRE ST
222094583,Towed,VAL - VIOLATION OF AUTO LAW,A15,2022,12,15,"AUSTIN ST & NEW RUTHERFORD AVE
BOSTON  MA 02129
UN"
222094582,Medical Assistance,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,B2,2022,12,16,BLUE HILL AVE
222094581,Larceny From Motor Vehicle,LARCENY THEFT FROM BUILDING,D4,2022,12,0,HARRISON AVE
222094580,Violations,ASSAULT - SIMPLE,A1,2022,12,15,KINGSTON ST
222094579,Other,LARCENY SHOPLIFTING,B2,2022,12,16,BLUE HILL AVE
222094578,Investigate Person,THREATS TO DO BODILY HARM,A15,2022,12,16,MAIN ST
222094577,Other,LARCENY THEFT FROM BUILDING,C11,2022,12,12,WASHINGTON ST
222094576,Missing Person Located,MISSING PERSON,A7,2022,12,16,PARIS ST
222094575,Verbal Disputes,M/V PLATES - LOST,E18,2022,12,11,EDSON ST
222094574,Verbal Disputes,FRAUD - WIRE,A1,2022,11,10,SUDBURY ST
222094572,Medical Assistance,M/V ACCIDENT - PERSONAL INJURY,E5,2022,12,15,WASHINGTON ST
222094571,Towed,FRAUD - FALSE PRETENSE / SCHEME,C11,2022,12,22,GIBSON ST
222094570,Larceny,FRAUD - FALSE PRETENSE / SCHEME,D14,2022,12,16,BIGELOW ST
222094569,Towed,VERBAL DISPUTE,B3,2022,12,15,VESTA RD
222094568,Motor Vehicle Accident Response,VAL - VIOLATION OF AUTO LAW,A7,2022,12,14,BORDER ST
222094567,Motor Vehicle Accident Response,SICK ASSIST,A7,2022,12,0,MAVERICK ST
222094566,Larceny,INVESTIGATE PERSON,B3,2022,12,3,WHITMAN ST
222094564,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4,2022,12,14,"DARTMOUTH ST & COLUMBUS AVE
BOSTON  MA 02116
UNITE"
222094563,Drug Violation,FRAUD - FALSE PRETENSE / SCHEME,D14,2022,12,11,WASHINGTON ST
222094562,Vandalism,SICK ASSIST - DRUG RELATED ILLNESS,C11,2022,12,15,GAYLORD ST
222094560,Simple Assault,INVESTIGATE PERSON,E13,2022,12,14,WASHINGTON ST
222094559,Larceny,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,2022,12,2,BLUE HILL AVE
222094557,Missing Person Located,LARCENY SHOPLIFTING,D4,2022,12,14,BOYLSTON ST
222094556,Motor Vehicle Accident Response,PROPERTY - LOST/ MISSING,A1,2022,12,15,AVENUE DE LAFAYETTE
222094553,Other,LARCENY THEFT FROM BUILDING,C6,2022,12,14,MOUNT VERNON ST
222094552,Drug Violation,SICK ASSIST,A1,2022,12,7,AVERY ST
222094550,Harassment,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,2022,12,14,"PARKER ST & WARD ST
ROXBURY  MA 02120
UNITED STATE"
222094549,Investigate Property,DEATH INVESTIGATION,C11,2022,12,14,HALLET ST
222094548,Property Found,LARCENY ALL OTHERS,D14,2022,12,14,SOLDIERS FIELD RD
222094547,Simple Assault,M/V ACCIDENT - PROPERTY DAMAGE,C11,2022,12,14,"ADAMS ST & WESTGLOW ST
DORCHESTER  MA 02124
UNITED"
222094544,Investigate Person,VAL - VIOLATION OF AUTO LAW,D4,2022,12,14,"HARRISON AVE & E BROOKLINE ST
BOSTON  MA 02118
UNI"
222094543,Larceny From Motor Vehicle,INVESTIGATE PROPERTY,C11,2022,12,13,ADAMS ST
222094541,Missing Person Located,PROPERTY - LOST/ MISSING,D4,2022,12,13,HARRISON AVE
222094539,Verbal Disputes,THREATS TO DO BODILY HARM,C11,2022,12,11,GIBSON ST
222094537,Larceny From Motor Vehicle,LARCENY THEFT FROM BUILDING,B3,2022,12,21,BLUE HILL AVE
222094534,Larceny,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,D4,2022,12,13,BOYLSTON ST
222094464,Aggravated Assault,VANDALISM,C11,2022,12,3,WILLIS ST
222094532,Investigate Property,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,2022,12,13,"NELSON ST & NORFOLK ST
DORCHESTER  MA 02124
UNITED"
222094531,Simple Assault,M/V ACCIDENT - OTHER,C6,2022,12,13,"C ST & W 1ST ST
BOSTON  MA 02127
UNITED STATES"
222094530,Larceny,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,D14,2022,12,11,"LITCHFIELD ST & WESTERN AVE
BOSTON  MA 02135
UNITE"
222094528,Property Lost,INVESTIGATE PERSON,D4,2022,12,13,ALBANY ST
222094527,Other,ASSAULT - SIMPLE,B2,2022,12,11,HUNTINGTON AVE
222094526,Other,HARASSMENT/ CRIMINAL HARASSMENT,E18,2022,12,15,HYDE PARK AVE
222094525,Auto Theft,PROPERTY - LOST/ MISSING,B3,2022,12,13,STANTON ST
222094524,Property Lost,SICK/INJURED/MEDICAL - PERSON,D4,2022,12,14,IPSWICH ST
222094523,Motor Vehicle Accident Response,VERBAL DISPUTE,B3,2022,12,11,"BLUE HILL AVE & WALES ST
BOSTON  MA 02121
UNITED S"
222094520,Medical Assistance,LARCENY SHOPLIFTING,E13,2022,12,0,COLUMBUS AVE
222094519,Auto Theft,ASSAULT - SIMPLE,C11,2022,12,10,PARISH ST
222094518,Violations,INVESTIGATE PERSON,A15,2022,12,11,RUTHERFORD AVE
222094516,Larceny From Motor Vehicle,LARCENY THEFT FROM BUILDING,B3,2022,12,9,CUMMINS HWY
222094514,Investigate Property,PROPERTY - FOUND,A1,2022,12,0,SUDBURY ST
222094513,Other,AUTO THEFT,D14,2022,12,20,WASHINGTON ST
222094512,Vandalism,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,C6,2022,12,12,BUTTONWOOD ST
222094511,Liquor Violation,HARASSMENT/ CRIMINAL HARASSMENT,A15,2022,12,3,VINE ST
222094507,Other,SICK/INJURED/MEDICAL - POLICE,B2,2022,12,0,QUINCEFIELD ST
222094506,Property Lost,SICK ASSIST,C6,2022,12,10,DALESSIO COURT
222094505,Violations,FRAUD - FALSE PRETENSE / SCHEME,E13,2022,12,11,WASHINGTON ST
222094502,Towed,INVESTIGATE PERSON,D4,2022,12,22,BERKELEY ST
222094500,Simple Assault,EXTORTION OR BLACKMAIL,A1,2022,12,21,SUDBURY ST
222094499,Larceny,FRAUD - IMPERSONATION,B2,2022,11,12,HARRISHOF ST
222034880,Disorderly Conduct,OTHER OFFENSE,D14,2022,5,14,NORTH BEACON STREET
222094497,Property Lost,LARCENY ALL OTHERS,E5,2022,12,11,CENTRE ST
222094496,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,2022,12,10,BELLEVUE ST
222094495,Medical Assistance,LARCENY THEFT FROM BUILDING,A1,2022,12,10,DEVONSHIRE ST
222094494,Motor Vehicle Accident Response,FRAUD - WIRE,A1,2022,10,0,NEW SUDBURY ST
222094493,Larceny From Motor Vehicle,INVESTIGATE PERSON,D4,2022,12,10,ALBANY ST
222094492,Medical Assistance,VERBAL DISPUTE,A1,2022,12,9,GARDEN COURT ST
222094491,Missing Person Reported,ASSAULT - SIMPLE,E18,2022,12,10,RIVER ST
222094490,Investigate Property,AUTO THEFT,A7,2022,12,10,BORDER ST
222094489,Vandalism,M/V - LEAVING SCENE - PERSONAL INJURY,A15,2022,12,10,"CHELSEA ST & CITY SQ
CHARLESTOWN  MA 02129
UNITED "
222094488,Larceny,MISSING PERSON,D14,2022,12,7,PERTHSHIRE RD
222094487,Motor Vehicle Accident Response,ASSAULT - SIMPLE,D4,2022,12,9,HARRISON AVE
222094486,Property Related Damage,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,2022,12,16,WASHINGTON ST
222094484,Motor Vehicle Accident Response,PROPERTY - LOST/ MISSING,B2,2022,12,16,WASHINGTON ST
222094483,Larceny,TOWED MOTOR VEHICLE,C11,2022,12,10,GIBSON ST
222094482,Investigate Property,LARCENY ALL OTHERS,B3,2022,12,10,CAPEN ST
222094481,Property Lost,BURGLARY - COMMERICAL,D4,2022,12,20,TREMONT ST
222094480,Investigate Person,M/V - LEAVING SCENE - PERSONAL INJURY,D4,2022,12,6,HARRISON AVE
222094479,Fraud,INVESTIGATE PERSON,E18,2022,12,9,BEECHMONT TER
222094477,Larceny,M/V ACCIDENT - PROPERTY DAMAGE,B2,2022,12,9,COLUMBUS AVE
222094476,Larceny,PROPERTY - LOST/ MISSING,B3,2022,11,12,BLUE HILL AVE
222094475,Simple Assault,THREATS TO DO BODILY HARM,D4,2022,12,9,BOYLSTON ST
222094474,Larceny,TOWED MOTOR VEHICLE,D4,2022,12,8,NEWBURY ST
222094473,Simple Assault,PROPERTY - ACCIDENTAL DAMAGE,E13,2022,12,9,AMORY ST
222094472,Confidence Games,INVESTIGATE PERSON,C11,2022,12,9,CHARLES ST
222094471,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY DAMAGE,E5,2022,12,9,FAWNDALE RD
222094470,Simple Assault,INVESTIGATE PROPERTY,D4,2022,12,3,HARRISON AVE
222094468,Robbery,INVESTIGATE PERSON,C6,2022,12,8,SUMMER ST
222094467,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,2022,12,9,GLENVILLE AVE
222094466,Medical Assistance,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,2022,12,0,BLUE HILL AVE
222094463,Motor Vehicle Accident Response,VERBAL DISPUTE,A7,2022,12,8,MAVERICK ST
222094462,Police Service Incidents,VANDALISM,A7,2022,12,7,WALDEMAR AVE
222094461,Missing Person Located,PROPERTY - FOUND,A7,2022,12,8,COTTAGE ST
222094460,Property Lost,INVESTIGATE PERSON,A1,2022,12,9,BOYLSTON ST
222094459,Harassment,INVESTIGATE PERSON,D4,2022,12,8,RUTLAND SQ & TREMONT ST
222094458,Motor Vehicle Accident Response,FRAUD - FALSE PRETENSE / SCHEME,E18,2022,12,0,HYDE PARK AVE
222094456,Simple Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,2022,12,8,QUEENSBERRY ST
222094455,Residential Burglary,FRAUD - CREDIT CARD / ATM FRAUD,C11,2022,12,8,TRAIN ST
222094454,Towed,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,2022,12,7,"CENTRE ST & LAGRANGE ST
WEST ROXBURY  MA 02132
UNI"
222094453,Simple Assault,PROPERTY - LOST/ MISSING,D4,2022,12,8,HARRISON AVE
222094452,Violations,FIRE REPORT,C6,2022,12,8,MASSACHUSETTS AVE
222094449,Harassment,INVESTIGATE PROPERTY,D4,2022,12,7,HOLYOKE ST
222094447,Property Lost,ASSAULT - SIMPLE,B2,2022,12,7,HOMESTEAD ST
222094446,Violations,M/V - LEAVING SCENE - PERSONAL INJURY,B3,2022,12,8,"BLUE HILL AVE & AMERICAN LEGION HWY
DORCHESTER  MA"
222094445,Larceny,INVESTIGATE PERSON,B2,2022,12,8,HOMESTEAD ST
222094444,Motor Vehicle Accident Response,HARASSMENT/ CRIMINAL HARASSMENT,E18,2022,9,7,HYDE PARK AVE
222094442,Drug Violation,TOWED MOTOR VEHICLE,D4,2022,12,7,E DEDHAM ST
222094441,Medical Assistance,PROPERTY - LOST/ MISSING,B2,2022,12,20,BLUE HILL AVE
222094440,Fraud,ASSAULT - AGGRAVATED,B3,2022,12,7,ROCKWELL ST
222094439,Larceny,ASSAULT - SIMPLE,D4,2022,12,15,HARRISON AVE
222094438,Harassment,INVESTIGATE PERSON,E18,2022,12,7,HYDE PARK AVE
222094437,Police Service Incidents,M/V ACCIDENT - PERSONAL INJURY,B2,2022,12,7,"MELNEA CASS BLVD & HAMPDEN ST
ROXBURY  MA 02119
UN"
222094436,Investigate Person,TOWED MOTOR VEHICLE,C11,2022,12,6,COLEMAN ST
222094435,Verbal Disputes,M/V ACCIDENT - PERSONAL INJURY,B3,2022,12,6,"HARVARD ST & GLEASON ST
BOSTON  MA 02124
UNITED ST"
222094434,Investigate Property,INVESTIGATE PERSON,B2,2022,12,6,HORADAN WAY
222094432,Towed,INVESTIGATE PROPERTY,E18,2022,11,22,HYDE PARK AVE
222094431,Vandalism,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,2022,12,18,HOWES ST
222094430,Larceny,MISSING PERSON - NOT REPORTED - LOCATED,A7,2022,12,5,NEPTUNE CIR
222094429,Motor Vehicle Accident Response,BURGLARY - COMMERICAL,B3,2022,12,6,RIVER ST
222094428,Larceny,SUDDEN DEATH,E5,2022,12,4,BRADFIELD AVE
222094427,Towed,SICK ASSIST,D4,2022,12,5,"BOYLSTON ST & MASSACHUSETTS AVE
BOSTON  MA 02115
U"
222094425,Fraud,FIRE REPORT,E18,2022,12,4,PROVIDENCE ST
222094424,Larceny,SICK/INJURED/MEDICAL - PERSON,A1,2022,12,5,SCHOOL ST
222094420,Auto Theft,VANDALISM,B3,2022,12,0,ORMOND ST
222094419,Larceny,SICK ASSIST,E5,2022,12,1,DENT ST
222094418,Towed,MISSING PERSON - NOT REPORTED - LOCATED,C11,2022,12,0,CENTRE ST
222094417,Investigate Person,TOWED MOTOR VEHICLE,D4,2022,12,1,SHAWMUT AVE
222094415,Investigate Property,VERBAL DISPUTE,C6,2022,12,0,CONGRESS ST
222094414,Towed,SICK ASSIST - DRUG RELATED ILLNESS,E13,2022,12,0,HEATH ST
222094413,Towed,VERBAL DISPUTE,B2,2022,12,23,HUMPHREYS ST
222094407,Investigate Person,LICENSE PREMISE VIOLATION,D4,2022,12,23,SAINT JAMES AVE
222094406,Vandalism,INVESTIGATE PERSON,E5,2022,12,2,BLUE LEDGE DR
222094403,Vandalism,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,2022,12,22,MELINA CASS BLVD AND HARRISON AVENUE
222094402,Violations,INVESTIGATE PROPERTY,D4,2022,12,23,SAINT JAMES AVE
222094401,Towed,INVESTIGATE PROPERTY,C11,2022,12,23,CENTRE COURT
222094400,Vandalism,SICK ASSIST,B3,2022,12,22,REXFORD ST
222094399,Larceny,PROPERTY - FOUND,C6,2022,12,23,ALLSTATE RD
222094397,Vandalism,TOWED MOTOR VEHICLE,C11,2022,12,21,TRAIN ST
222094396,Commercial Burglary,SICK/INJURED/MEDICAL - PERSON,D4,2022,12,22,"WASHINGTON ST & WORCESTER SQ
BOSTON  MA 02118
UNIT"
222094394,Other,VERBAL DISPUTE,A7,2022,12,22,MAVERICK ST
222094392,Simple Assault,SICK ASSIST,E13,2022,12,21,CENTRE ST
222094390,Recovered Stolen Property,VANDALISM,B2,2022,12,22,DUNKELD ST
222094389,Residential Burglary,LARCENY THEFT FROM BUILDING,D4,2022,12,20,MASSACHUSETTS AVE
222094387,Motor Vehicle Accident Response,SICK/INJURED/MEDICAL - PERSON,B3,2022,12,21,MASCOT ST
222094386,Fire Related Reports,AUTO THEFT,D14,2022,10,12,WASHINGTON ST
222094385,Aggravated Assault,LARCENY ALL OTHERS,C6,2022,12,0,W BROADWAY
222094384,Verbal Disputes,INVESTIGATE PERSON,C6,2022,12,0,W BROADWAY
222094383,Verbal Disputes,INVESTIGATE PERSON,C6,2022,12,0,W BROADWAY
222094382,Motor Vehicle Accident Response,HARASSMENT/ CRIMINAL HARASSMENT,C11,2022,12,22,GIBSON ST
222094381,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,E18,2022,12,21,HYDE PARK AVE
222094379,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,B3,2022,12,21,BLUE HILL AVE
222094377,Investigate Person,THREATS TO DO BODILY HARM,C11,2022,12,21,CHARLES ST
222094376,Motor Vehicle Accident Response,SICK ASSIST - DRUG RELATED ILLNESS,A1,2022,12,21,CITY HALL PLZ
222094375,Simple Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,2022,10,20,GIBSON ST
222094371,Motor Vehicle Accident Response,SICK ASSIST,C11,2022,12,20,POND ST
222094370,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,D14,2022,12,20,CAMBRIDGE ST
222094367,Larceny,INVESTIGATE PERSON,A1,2022,12,21,SUDBURY ST
222094365,Vandalism,INVESTIGATE PROPERTY,C11,2022,12,20,FLORIDA ST
222094362,Aggravated Assault,INVESTIGATE PERSON,D14,2022,12,20,COMMONWEALTH AVE
222094361,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,2022,12,19,COMMONWEALTH AVE
