INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222480154,2670,Vandalism,HARASSMENT/ CRIMINAL HARASSMENT,E13,302,0,10/14/2022 12:30,2022,10,Friday,12,,CENTRE ST,42.32270922,-71.09932317,"(42.32270922185721, -71.09932316830728)"
222465682,3201,Aggravated Assault,PROPERTY - LOST/ MISSING,D4,167,0,10/7/2022 6:00,2022,10,Friday,6,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222449806,3831,Investigate Property,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,328,0,6/14/2022 14:40,2022,6,Tuesday,14,,"LAWRENCE AVE & MASCOMA ST
DORCHESTER  MA 02121
UNI",42.31136204,-71.07582102,"(42.311362041037924, -71.07582102134151)"
222409259,1106,Residential Burglary,FRAUD - CREDIT CARD / ATM FRAUD,A7,25,0,3/1/2022 0:00,2022,3,Tuesday,0,,WHITE ST,42.38052323,-71.03376538,"(42.3805232287873, -71.03376538438619)"
222252512,619,Verbal Disputes,LARCENY ALL OTHERS,B2,304,0,5/31/2022 10:10,2022,5,Tuesday,10,,WASHINGTON ST,42.31795047,-71.09617099,"(42.317950474972136, -71.09617098563778)"
222241492,3201,Motor Vehicle Accident Response,PROPERTY - LOST/ MISSING,B2,325,0,6/1/2022 21:00,2022,6,Wednesday,21,,WOODCLIFF STREET,0,0,"(0, 0)"
222201764,724,Verbal Disputes,AUTO THEFT,C6,200,0,1/9/2022 0:00,2022,1,Sunday,0,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222201559,301,Investigate Person,ROBBERY,D4, ,0,3/5/2022 13:00,2022,3,Saturday,13,,ALBANY ST,42.33318449,-71.07393881,"(42.333184490911954, -71.07393881002383)"
222161312,3112,Verbal Disputes,LANDLORD - TENANT,D14, ,0,8/12/2022 20:40,2022,8,Friday,20,,JETTE CT,42.3468275,-71.14319086,"(42.34682749921356, -71.14319086479756)"
222111641,619,Motor Vehicle Accident Response,LARCENY ALL OTHERS,D14,778,0,2/14/2022 12:30,2022,2,Monday,12,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222107076,3125,Larceny,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),D4, ,0,3/11/2022 10:45,2022,3,Friday,10,,"MASSACHUSETTS AVE & ALBANY ST
BOSTON  MA 02118
UNI",42.33349998,-71.07351,"(42.33349998017161, -71.07350999617319)"
222094768,3115,Firearm Violations,INVESTIGATE PERSON,D4,626,0,12/7/2022 20:00,2022,12,Wednesday,20,,KILMARNOCK STREET,0,0,"(0, 0)"
222094729,3801,Medical Assistance,M/V ACCIDENT - OTHER,A7,12,0,12/8/2022 2:48,2022,12,Thursday,2,,"BENNINGTON ST & SARATOGA ST
EAST BOSTON  MA 02128
",42.38668099,-71.00685494,"(42.386680991546385, -71.00685494344233)"
222094726,3301,Motor Vehicle Accident Response,VERBAL DISPUTE,C11,257,0,12/8/2022 2:25,2022,12,Thursday,2,,HANCOCK ST,42.310434,-71.0613401,"(42.31043399746241, -71.06134009762133)"
222088916,1831,Aggravated Assault,SICK ASSIST,B2,615,0,11/16/2022 11:56,2022,11,Wednesday,11,,LONGWOOD AVENUE,0,0,"(0, 0)"
222094723,1831,Simple Assault,SICK ASSIST,D14,796,0,12/8/2022 1:20,2022,12,Thursday,1,,COMMONWEALTH AVE,42.35043273,-71.1271048,"(42.350432726359855, -71.12710479628086)"
222094714,520,Investigate Property,BURGLARY - RESIDENTIAL,D14, ,0,12/8/2022 0:44,2022,12,Thursday,0,,PARK VALE AVE,42.35182446,-71.13313369,"(42.351824463885535, -71.13313369007304)"
222094712,3301,Vandalism,VERBAL DISPUTE,C6, ,0,12/7/2022 23:38,2022,12,Wednesday,23,,E SEVENTH ST,42.33228037,-71.03630323,"(42.33228037303039, -71.03630322802094)"
222094710,3410,Missing Person Reported,TOWED MOTOR VEHICLE,B2,305,0,12/7/2022 23:15,2022,12,Wednesday,23,,"WASHINGTON ST & ELMORE ST
BOSTON  MA 02119
UNITED ",42.32130002,-71.09247998,"(42.321300022830805, -71.09247997932714)"
222094709,1831,Robbery,SICK ASSIST,, ,0,12/8/2022 0:05,2022,12,Thursday,0,,"FAIRMOUNT AVE & TRUMAN PARKWAY
HYDE PARK  MASSACHU",0,0,"(0, 0)"
222094706,1106,Simple Assault,FRAUD - CREDIT CARD / ATM FRAUD,C11,355,0,12/7/2022 23:14,2022,12,Wednesday,23,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222094705,3111,Investigate Property,LICENSE PREMISE VIOLATION,A7,10,0,12/7/2022 23:30,2022,12,Wednesday,23,,SARATOGA ST,42.38685489,-71.00738288,"(42.38685488520997, -71.00738288270642)"
222094700,423,Property Lost,ASSAULT - AGGRAVATED,D14,783,0,12/7/2022 10:03,2022,12,Wednesday,10,,COMMONWEALTH AVE,42.34888559,-71.14007361,"(42.34888558899946, -71.14007361174073)"
222094698,1831,Violations,SICK ASSIST,B2, ,0,12/7/2022 21:53,2022,12,Wednesday,21,,MARTIN LUTHER KING JR BLVD,42.32075533,-71.09035419,"(42.32075532730373, -71.09035418565783)"
222094696,2905,Violations,VAL - VIOLATION OF AUTO LAW,D4,168,0,12/7/2022 21:30,2022,12,Wednesday,21,,"WASHINGTON ST & E CONCORD ST
BOSTON  MA 02118
UNIT",42.33794998,-71.07495002,"(42.337949976125834, -71.07495002175536)"
222094695,423,Robbery,ASSAULT - AGGRAVATED,D14, ,0,12/7/2022 22:12,2022,12,Wednesday,22,,COMMONWEALTH AVE,42.34835708,-71.13645291,"(42.34835707755709, -71.13645290629044)"
222094694,1831,Simple Assault,SICK ASSIST,D14,800,0,12/7/2022 21:49,2022,12,Wednesday,21,,GARDNER ST,42.35361371,-71.12967302,"(42.353613712141204, -71.12967302016737)"
222094693,1832,Firearm Violations,SICK ASSIST - DRUG RELATED ILLNESS,D14,755,0,12/7/2022 21:55,2022,12,Wednesday,21,,TREMONT ST,42.35594239,-71.06258333,"(42.35594238717985, -71.06258333167791)"
222094692,3801,Firearm Discovery,M/V ACCIDENT - OTHER,A7, ,0,12/7/2022 21:42,2022,12,Wednesday,21,,"CHELSEA ST & DAY SQ
EAST BOSTON  MA 02128
UNITED S",42.37939904,-71.02776101,"(42.37939903527548, -71.02776101138959)"
222094687,619,Warrant Arrests,LARCENY ALL OTHERS,A7, ,0,12/7/2022 20:55,2022,12,Wednesday,20,,CHELSEA ST,42.37172266,-71.03665549,"(42.37172265802672, -71.0366554935452)"
222094686,530,Other,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,A7, ,0,12/7/2022 21:37,2022,12,Wednesday,21,,BENNINGTON ST,42.3859459,-71.00902371,"(42.385945896072144, -71.00902370569645)"
222094684,3201,Missing Person Reported,PROPERTY - LOST/ MISSING,A7,28,0,12/7/2022 0:00,2022,12,Wednesday,0,,PARIS ST,42.37081805,-71.03929078,"(42.3708180467024, -71.03929078135145)"
222094683,2662,Aggravated Assault,BALLISTICS EVIDENCE/FOUND,B2, ,0,12/7/2022 19:36,2022,12,Wednesday,19,,HOMESTEAD ST,42.31127726,-71.08909334,"(42.31127725586286, -71.08909334113278)"
222094682,3114,Vandalism,INVESTIGATE PROPERTY,E5,724,0,12/7/2022 21:18,2022,12,Wednesday,21,,VFW PKWY,42.26932098,-71.17204938,"(42.269320977398834, -71.1720493822165)"
222094681,3501,Ballistics,MISSING PERSON,E18, ,0,12/7/2022 21:09,2022,12,Wednesday,21,,THORN ST,42.26388758,-71.10362718,"(42.26388758084329, -71.10362717852189)"
222094677,1402,Towed,VANDALISM,E5,822,0,12/7/2022 21:20,2022,12,Wednesday,21,,GEORGETOWNE PL,42.25520097,-71.14449084,"(42.25520097345047, -71.14449084393871)"
222094676,3201,Larceny,PROPERTY - LOST/ MISSING,A1, ,0,12/7/2022 21:00,2022,12,Wednesday,21,,CITY HALL SQ,0,0,"(0, 0)"
222094672,1831,Missing Person Reported,SICK ASSIST,C6,175,0,12/7/2022 21:05,2022,12,Wednesday,21,,SOUTHAMPTON ST,42.33210843,-71.07014395,"(42.332108429494895, -71.07014394813551)"
222094671,1831,Residential Burglary,SICK ASSIST,D14, ,0,12/7/2022 20:07,2022,12,Wednesday,20,,ORKNEY RD,42.33691995,-71.14960316,"(42.33691995379182, -71.14960316458082)"
222094670,3115,Motor Vehicle Accident Response,INVESTIGATE PERSON,D4, ,0,12/7/2022 20:00,2022,12,Wednesday,20,,WASHINGTON ST,42.34334672,-71.06643142,"(42.34334672152103, -71.0664314161937)"
222094668,724,Drug Violation,AUTO THEFT,E18,490,0,12/7/2022 18:15,2022,12,Wednesday,18,,AMERICAN LEGION HWY,42.27531311,-71.11587798,"(42.275313114971155, -71.11587797694025)"
222094667,1810,Drug Violation,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,D4,150,0,6/24/2022 0:00,2022,6,Friday,0,,COLUMBUS AVE,42.34563477,-71.07555367,"(42.34563477312553, -71.07555366997444)"
222094665,3115,Medical Assistance,INVESTIGATE PERSON,A1, ,0,12/7/2022 17:39,2022,12,Wednesday,17,,PARK PLZ,42.35143483,-71.06969334,"(42.35143482577503, -71.06969334275597)"
222094659,301,Motor Vehicle Accident Response,ROBBERY,B3, ,0,12/7/2022 20:00,2022,12,Wednesday,20,,NORFOLK ST,42.28915232,-71.07346,"(42.28915231852153, -71.07346000061162)"
222094657,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,D14, ,0,12/7/2022 17:55,2022,12,Wednesday,17,,WESTERN AVE,42.3633571,-71.13409414,"(42.36335709901264, -71.13409413558749)"
222094653,520,Motor Vehicle Accident Response,BURGLARY - RESIDENTIAL,C6, ,0,12/7/2022 7:30,2022,12,Wednesday,7,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222094651,3115,Simple Assault,INVESTIGATE PERSON,B3,433,0,12/7/2022 19:01,2022,12,Wednesday,19,,CORBET ST,42.28295732,-71.0836145,"(42.282957315340994, -71.08361450382698)"
222094650,3115,Medical Assistance,INVESTIGATE PERSON,B2, ,0,12/7/2022 19:20,2022,12,Wednesday,19,,REGENT ST,42.32289006,-71.08793566,"(42.322890058454, -71.08793565505167)"
222094649,3115,Verbal Disputes,INVESTIGATE PERSON,C11,355,0,12/7/2022 0:00,2022,12,Wednesday,0,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222094648,3802,Investigate Person,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,12/7/2022 18:50,2022,12,Wednesday,18,,WASHINGTON ST,42.30576686,-71.08097517,"(42.305766857734, -71.08097517447082)"
222094646,2905,Verbal Disputes,VAL - VIOLATION OF AUTO LAW,D4, ,0,11/28/2022 10:24,2022,11,Monday,10,,SAINT BOTOLPH ST,42.34401294,-71.08186196,"(42.344012939551334, -71.08186196124687)"
222094645,1831,Verbal Disputes,SICK ASSIST,A7, ,0,12/7/2022 18:15,2022,12,Wednesday,18,,LIVERPOOL ST,42.37348338,-71.03989483,"(42.37348338164849, -71.0398948320411)"
222094644,3126,Auto Theft,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,E13, ,0,12/7/2022 19:04,2022,12,Wednesday,19,,WASHINGTON ST,42.30971857,-71.10429432,"(42.30971856767274, -71.10429431787648)"
222094643,530,Simple Assault,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,D4, ,0,12/7/2022 14:13,2022,12,Wednesday,14,,WESTLAND AVE,42.34355868,-71.08734145,"(42.34355868155477, -71.0873414549039)"
222094642,3803,Fire Related Reports,M/V ACCIDENT - PERSONAL INJURY,C6, ,0,12/7/2022 17:42,2022,12,Wednesday,17,,"BOSTON ST & CLAPP ST
DORCHESTER  MA 02125
UNITED S",42.32235702,-71.06105103,"(42.32235701909182, -71.06105103085464)"
222094641,3501,Investigate Person,MISSING PERSON,A1,77,0,12/6/2022 14:30,2022,12,Tuesday,14,,SUDBURY ST,0,0,"(0, 0)"
222094640,3501,Ballistics,MISSING PERSON,C11,337,0,12/7/2022 17:34,2022,12,Wednesday,17,,GENEVA AVE,42.30461251,-71.07296566,"(42.30461250991525, -71.07296566447253)"
222094639,3114,Verbal Disputes,INVESTIGATE PROPERTY,C6,235,0,12/7/2022 18:28,2022,12,Wednesday,18,,DORCHESTER AVE,42.32137427,-71.05679486,"(42.321374273916476, -71.05679486212327)"
222094638,3831,Towed,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13, ,0,12/7/2022 18:46,2022,12,Wednesday,18,,S HUNTINGTON AVE,42.32639844,-71.11152626,"(42.32639844264636, -71.11152626308467)"
222094635,1831,Aggravated Assault,SICK ASSIST,D14,784,0,12/7/2022 17:35,2022,12,Wednesday,17,,CAMBRIDGE ST,42.3499624,-71.14762531,"(42.34996240307132, -71.14762530579942)"
222094634,3802,Aggravated Assault,M/V ACCIDENT - PROPERTY DAMAGE,C6, ,0,12/7/2022 18:12,2022,12,Wednesday,18,,E BROADWAY,42.33550576,-71.04291647,"(42.33550575860268, -71.04291647249967)"
222094633,3114,Simple Assault,INVESTIGATE PROPERTY,D14, ,0,12/7/2022 17:31,2022,12,Wednesday,17,,SAINT LUKES RD,42.35153421,-71.12710744,"(42.351534214213586, -71.12710744446964)"
222094632,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,D4,167,0,12/7/2022 14:00,2022,12,Wednesday,14,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222094631,3115,Motor Vehicle Accident Response,INVESTIGATE PERSON,A1,77,0,12/7/2022 0:01,2022,12,Wednesday,0,,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.361838566564714, -71.05976489094158)"
222094630,3115,Medical Assistance,INVESTIGATE PERSON,B2, ,0,12/7/2022 17:42,2022,12,Wednesday,17,,HAROLD ST,42.31505773,-71.09091987,"(42.31505772770877, -71.09091987234247)"
222094629,1109,Missing Person Reported,FRAUD - WIRE,C11,355,0,12/7/2022 9:30,2022,12,Wednesday,9,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222094628,3018,Other,SICK/INJURED/MEDICAL - POLICE,C6,187,0,12/7/2022 15:58,2022,12,Wednesday,15,,RAWSON ST,42.32622222,-71.05816916,"(42.32622222265386, -71.05816916195221)"
222094627,3115,Fraud,INVESTIGATE PERSON,B3, ,0,12/7/2022 17:50,2022,12,Wednesday,17,,BERNARD ST,42.29541253,-71.08063096,"(42.29541252998071, -71.08063096293994)"
222094625,3001,Aggravated Assault,DEATH INVESTIGATION,E18, ,0,12/7/2022 17:36,2022,12,Wednesday,17,,FAIRMOUNT AVE,42.2545638,-71.11998513,"(42.254563798173514, -71.11998513059977)"
222094624,423,Other,ASSAULT - AGGRAVATED,B3,417,0,12/7/2022 17:44,2022,12,Wednesday,17,,ROCKWELL ST,42.28339069,-71.07388628,"(42.28339069344123, -71.0738862780023)"
222094623,3802,Disorderly Conduct,M/V ACCIDENT - PROPERTY DAMAGE,E5, ,0,12/7/2022 17:38,2022,12,Wednesday,17,,"LAGRANGE ST & VERMONT ST
WEST ROXBURY  MA 02132
UN",42.28745397,-71.16532194,"(42.28745396606145, -71.16532194215799)"
222094622,3115,Towed,INVESTIGATE PERSON,C11,255,0,12/7/2022 18:03,2022,12,Wednesday,18,,DEER ST,42.31179731,-71.05833463,"(42.311797307876766, -71.05833463466116)"
222094619,3301,Medical Assistance,VERBAL DISPUTE,D4,625,0,12/7/2022 17:20,2022,12,Wednesday,17,,JERSEY STREET,0,0,"(0, 0)"
222094618,530,Residential Burglary,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,C6,200,0,12/7/2022 1:30,2022,12,Wednesday,1,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222094616,617,Motor Vehicle Accident Response,LARCENY THEFT FROM BUILDING,D4,167,0,12/2/2022 21:45,2022,12,Friday,21,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222094615,301,Verbal Disputes,ROBBERY,A1,111,0,12/7/2022 17:45,2022,12,Wednesday,17,,WINTER ST,42.35554806,-71.0607314,"(42.3555480569011, -71.0607313972787)"
222094614,1402,Motor Vehicle Accident Response,VANDALISM,B3, ,0,12/7/2022 17:21,2022,12,Wednesday,17,,DELHI ST,42.27436376,-71.09136935,"(42.27436375747761, -71.09136934954907)"
222094613,3115,Larceny From Motor Vehicle,INVESTIGATE PERSON,B3, ,0,12/7/2022 16:39,2022,12,Wednesday,16,,GLENWAY ST,42.29843275,-71.08122675,"(42.29843274914298, -71.08122675231225)"
222094612,3207,Police Service Incidents,PROPERTY - FOUND,A1,128,0,12/7/2022 16:00,2022,12,Wednesday,16,,COLUMBUS AVE,42.34944475,-71.07072461,"(42.34944474568061, -71.07072460603585)"
222094610,801,Larceny,ASSAULT - SIMPLE,D14, ,0,12/7/2022 17:45,2022,12,Wednesday,17,,COMMONWEALTH AVE,42.34146608,-71.14602501,"(42.341466084374666, -71.14602501376542)"
222094609,1810,Property Lost,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B3,424,0,12/7/2022 17:43,2022,12,Wednesday,17,,"RIVER ST & MAMELON CIR
BOSTON  MA 02126
UNITED STA",42.27005,-71.08984006,"(42.2700500006573, -71.08984005532052)"
222094608,801,Other,ASSAULT - SIMPLE,C11,454,0,12/7/2022 16:00,2022,12,Wednesday,16,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222094607,1402,Larceny From Motor Vehicle,VANDALISM,D14,751,0,12/5/2022 13:00,2022,12,Monday,13,,KENRICK ST,42.34669542,-71.16848514,"(42.34669542082371, -71.16848513706617)"
222094606,617,Simple Assault,LARCENY THEFT FROM BUILDING,A7, ,0,12/7/2022 17:49,2022,12,Wednesday,17,,PARIS ST,42.37081805,-71.03929078,"(42.3708180467024, -71.03929078135145)"
222094605,3201,Investigate Person,PROPERTY - LOST/ MISSING,A1,77,0,12/3/2022 18:06,2022,12,Saturday,18,,SUDBURY ST,0,0,"(0, 0)"
222094602,724,Larceny,AUTO THEFT,C6, ,0,11/25/2022 17:44,2022,11,Friday,17,,W BROADWAY,42.3412875,-71.05467933,"(42.341287504390436, -71.05467932649397)"
222094598,617,Medical Assistance,LARCENY THEFT FROM BUILDING,C11,454,0,12/5/2022 17:00,2022,12,Monday,17,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222084308,520,Larceny,BURGLARY - RESIDENTIAL,D14,800,0,10/31/2022 18:00,2022,10,Monday,18,,GARDNER STREET,0,0,"(0, 0)"
222094597,3115,Larceny,INVESTIGATE PERSON,A1, ,0,12/7/2022 16:22,2022,12,Wednesday,16,,N MARGIN ST,42.36490476,-71.05671873,"(42.364904764030825, -71.0567187322552)"
222094596,614,Verbal Disputes,LARCENY THEFT FROM MV - NON-ACCESSORY,C11, ,0,12/7/2022 16:21,2022,12,Wednesday,16,,BUTTONWOOD ST,42.32027219,-71.05583477,"(42.32027218785421, -71.05583477102618)"
222094595,3201,Simple Assault,PROPERTY - LOST/ MISSING,B3,465,0,12/7/2022 17:28,2022,12,Wednesday,17,,BLUE HILL AVE,42.28482577,-71.09137369,"(42.28482576580488, -71.09137368938802)"
222094594,3831,Aggravated Assault,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,12/6/2022 22:30,2022,12,Tuesday,22,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222094593,3301,Aggravated Assault,VERBAL DISPUTE,E18, ,0,12/7/2022 16:41,2022,12,Wednesday,16,,ARLINGTON ST,42.26303952,-71.12230282,"(42.26303951568231, -71.12230282357648)"
222094591,2647,Robbery,THREATS TO DO BODILY HARM,D4,167,0,11/28/2022 0:00,2022,11,Monday,0,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222094589,3301,Medical Assistance,VERBAL DISPUTE,C6, ,0,12/7/2022 16:43,2022,12,Wednesday,16,,OCEAN VIEW DR,42.31855308,-71.03860648,"(42.3185530793123, -71.03860647650713)"
222094588,1402,Motor Vehicle Accident Response,VANDALISM,C11,254,0,12/7/2022 16:59,2022,12,Wednesday,16,,DORCHESTER AVE,42.31091044,-71.05767414,"(42.31091043519159, -71.05767413834054)"
222094587,3114,Violations,INVESTIGATE PROPERTY,C11,454,0,12/6/2022 16:00,2022,12,Tuesday,16,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222094586,1831,Motor Vehicle Accident Response,SICK ASSIST,B2,282,0,12/7/2022 16:30,2022,12,Wednesday,16,,WARREN ST,42.32823418,-71.08328981,"(42.32823418485796, -71.08328981032231)"
222094584,1102,Police Service Incidents,FRAUD - FALSE PRETENSE / SCHEME,E5,691,0,12/5/2022 9:00,2022,12,Monday,9,,CENTRE ST,42.28709355,-71.14822128,"(42.28709355259107, -71.14822128377165)"
222094583,2905,Towed,VAL - VIOLATION OF AUTO LAW,A15,59,0,12/7/2022 15:56,2022,12,Wednesday,15,,"AUSTIN ST & NEW RUTHERFORD AVE
BOSTON  MA 02129
UN",42.37420997,-71.06798996,"(42.37420997468436, -71.06798996044449)"
222094582,2101,Medical Assistance,OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,B2,264,0,12/7/2022 16:30,2022,12,Wednesday,16,,BLUE HILL AVE,42.31894276,-71.07775788,"(42.31894276080241, -71.07775788364356)"
222094581,617,Larceny From Motor Vehicle,LARCENY THEFT FROM BUILDING,D4,167,0,12/7/2022 0:40,2022,12,Wednesday,0,,HARRISON AVE,42.33954199,-71.06940877,"(42.33954198983014, -71.06940876967543)"
222094580,801,Violations,ASSAULT - SIMPLE,A1,116,0,12/7/2022 15:51,2022,12,Wednesday,15,,KINGSTON ST,42.35202275,-71.05932,"(42.3520227475632, -71.05931999920402)"
222094579,613,Other,LARCENY SHOPLIFTING,B2,329,0,12/7/2022 16:30,2022,12,Wednesday,16,,BLUE HILL AVE,42.30896999,-71.08284839,"(42.308969992788, -71.08284838641052)"
222094578,2647,Investigate Person,THREATS TO DO BODILY HARM,A15, ,0,12/7/2022 16:18,2022,12,Wednesday,16,,MAIN ST,42.37746305,-71.06697969,"(42.37746304863097, -71.06697969407311)"
222094577,617,Other,LARCENY THEFT FROM BUILDING,C11,454,0,12/5/2022 12:00,2022,12,Monday,12,,WASHINGTON ST,42.349056,-71.1504985,"(42.34905600030506, -71.15049849975023)"
222094576,3501,Missing Person Located,MISSING PERSON,A7,28,0,12/7/2022 16:20,2022,12,Wednesday,16,,PARIS ST,42.37081805,-71.03929078,"(42.3708180467024, -71.03929078135145)"
222094575,3205,Verbal Disputes,M/V PLATES - LOST,E18,529,0,12/4/2022 11:00,2022,12,Sunday,11,,EDSON ST,42.24182698,-71.13855899,"(42.241826984790315, -71.13855898898719)"
222094574,1109,Verbal Disputes,FRAUD - WIRE,A1,77,0,11/30/2022 10:05,2022,11,Wednesday,10,,SUDBURY ST,0,0,"(0, 0)"
222094572,3803,Medical Assistance,M/V ACCIDENT - PERSONAL INJURY,E5, ,0,12/7/2022 15:59,2022,12,Wednesday,15,,WASHINGTON ST,42.26866684,-71.14904534,"(42.268666835941836, -71.14904534332676)"
222094571,1102,Towed,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,12/6/2022 22:00,2022,12,Tuesday,22,,GIBSON ST,42.29755533,-71.0597091,"(42.29755532959655, -71.05970910242573)"
222094570,1102,Larceny,FRAUD - FALSE PRETENSE / SCHEME,D14, ,0,12/7/2022 16:13,2022,12,Wednesday,16,,BIGELOW ST,42.35330972,-71.16778958,"(42.35330972137034, -71.16778957946282)"
222094569,3301,Towed,VERBAL DISPUTE,B3, ,0,12/7/2022 15:43,2022,12,Wednesday,15,,VESTA RD,42.2960628,-71.08664795,"(42.29606280271475, -71.08664794825769)"
222094568,2905,Motor Vehicle Accident Response,VAL - VIOLATION OF AUTO LAW,A7,907,0,12/7/2022 14:10,2022,12,Wednesday,14,,BORDER ST,42.3714106,-71.04245069,"(42.37141060127874, -71.04245069263575)"
222094567,1831,Motor Vehicle Accident Response,SICK ASSIST,A7,907,0,12/7/2022 0:00,2022,12,Wednesday,0,,MAVERICK ST,42.37146769,-71.04195159,"(42.37146769099423, -71.04195159280825)"
222094566,3115,Larceny,INVESTIGATE PERSON,B3,435,0,12/7/2022 3:35,2022,12,Wednesday,3,,WHITMAN ST,42.28701738,-71.07706453,"(42.28701737735204, -71.07706452690711)"
222094564,3820,Motor Vehicle Accident Response,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,12/7/2022 14:39,2022,12,Wednesday,14,,"DARTMOUTH ST & COLUMBUS AVE
BOSTON  MA 02116
UNITE",42.34584003,-71.07526002,"(42.34584002933945, -71.07526001770144)"
